TEAM_ID,PLAYER_ID,PLAYER_NAME,JERSEY_NUMBER,POSITION,POSITION_TYPE,STATUS,TEAM_NAME
133,650644,Aaron Civale,42,P,Pitcher,Active,Athletics
133,628451,Andy Ibáñez,42,3B,Infielder,Active,Athletics
133,642851,Austin Wynns,42,C,Catcher,Active,Athletics
133,666126,Carlos Cortes,42,LF,Outfielder,Active,Athletics
133,687231,Darell Hernaiz,42,3B,Infielder,Active,Athletics
133,672016,Denzel Clarke,42,CF,Outfielder,Active,Athletics
133,665660,Elvis Alvarado,42,P,Pitcher,Active,Athletics
133,663687,Hogan Harris,42,P,Pitcher,Active,Athletics
133,669372,J.T. Ginn,42,P,Pitcher,Active,Athletics
133,678022,Jack Perkins,42,P,Pitcher,Active,Athletics
133,682052,Jacob Lopez,42,P,Pitcher,Active,Athletics
133,805779,Jacob Wilson,42,SS,Infielder,Active,Athletics
133,643446,Jeff McNeil,42,2B,Infielder,Active,Athletics
133,605488,Jeffrey Springs,42,P,Pitcher,Active,Athletics
133,669270,Joel Kuhnel,42,P,Pitcher,Active,Athletics
133,686993,Justin Sterner,42,P,Pitcher,Active,Athletics
